Age,Annual_Income,Total_Purchases,Average_Ticket,Total_Spending,Loyalty_Points,Website_Visits,Days_Since_Last_Purchase,Online_Purchases
42,39198,22,260.19,5869.55,14301,135,98,10
21,21449,17,72.91,1294.71,3577,134,231,11
48,34956,9,155.1,1229.23,4342,5,267,1
28,20591,15,67.6,1849.89,6490,135,142,16
41,99497,24,716.64,17389.89,42675,172,125,13
56,40282,13,248.07,3636.93,10508,26,253,4
30,27854,11,125.46,1791.93,5299,47,233,8
18,32638,25,141.04,3161.26,6331,183,159,19
51,30693,21,96.47,1886.22,4277,203,150,20
28,66315,20,547.47,11508.5,27457,126,98,12
49,68443,20,539.15,11740.59,29181,148,180,18
46,47715,18,256.44,4474.89,10777,154,154,17
31,61559,2,330.24,1568.13,4882,31,344,1
36,73966,15,614.29,8968.32,23301,94,233,7
42,45206,23,212.84,4171.4,10506,119,120,11
19,41514,18,167.92,2130.19,6177,89,195,12
32,20369,17,94.49,1030.61,2482,156,208,13
51,40655,10,248.58,2664.19,7666,62,241,7
56,39086,21,272.67,6366.01,13774,148,175,13
33,34054,20,182.27,4273.33,11120,83,177,8
20,36008,21,241.97,4694.06,11778,136,133,16
22,31471,16,146.01,3798.25,8741,103,216,11
51,23339,18,153.98,3914.78,10186,165,174,20
27,39323,23,192.76,3720.46,10365,198,128,19
18,49792,12,244.2,2643.98,6158,60,280,6
29,24467,18,30.0,50.0,813,131,271,13
49,41076,22,237.14,5632.31,15389,130,175,11
43,34125,22,114.54,1951.84,4785,214,117,21
20,49134,21,303.67,7476.83,19652,195,98,19
18,43821,22,228.03,5594.78,14366,204,163,20
18,39188,11,126.18,3088.42,8957,113,279,7
31,29676,21,160.99,3421.07,7866,151,207,15
42,36936,18,205.06,3690.02,8438,155,210,16
39,81027,29,592.63,16695.59,41827,218,98,21
26,44611,19,170.51,2933.96,6794,165,153,15
34,64900,22,437.5,10024.07,24567,165,108,17
47,49145,13,312.94,3453.91,9778,53,265,5
27,30573,19,137.16,3475.83,8692,167,194,16
25,48730,22,307.11,7022.51,18238,42,175,6
49,45322,13,313.7,4060.09,11170,85,248,7
41,49659,22,287.23,5507.54,13181,115,170,5
36,54931,6,270.18,2132.41,6687,13,319,1
27,38476,16,186.91,3726.44,11407,104,274,14
22,28266,16,165.66,2983.47,6482,136,185,12
41,68158,21,449.68,8694.69,22288,139,141,9
38,40170,7,195.05,2097.31,4930,32,275,1
50,46712,7,247.88,1625.31,4261,27,328,4
49,56466,11,357.47,3923.75,8294,102,247,7
45,30358,20,158.71,3024.27,6404,164,165,18
36,44909,15,372.52,5844.17,14270,114,217,9
36,58999,26,507.8,13021.72,34420,195,55,20
53,38777,18,157.08,3147.79,6533,147,202,15
36,68679,22,625.45,12992.13,34052,87,178,10
60,37542,20,184.83,3137.64,7438,185,154,14
58,26522,8,122.39,50.0,773,42,360,5
37,22219,21,50.18,1130.96,2670,231,200,22
43,73036,23,560.56,13243.16,35009,140,172,14
28,34874,13,188.18,2031.43,6178,114,274,12
52,48993,15,294.65,3678.09,9532,88,239,8
47,57841,29,454.56,13461.63,34709,194,92,19
49,33659,9,176.16,2052.05,6114,82,233,8
29,36102,19,203.1,3637.47,9532,194,140,17
35,42638,18,287.28,4685.07,12625,122,220,9
36,51593,27,441.23,11991.74,29968,161,61,15
34,40415,13,226.51,2747.45,7074,77,206,6
49,67591,20,429.38,8563.08,22152,78,202,8
53,25814,7,143.33,866.59,2688,13,262,2
20,28972,10,107.7,448.76,1229,33,263,3
39,40180,15,327.27,5069.01,14632,94,162,8
43,39457,15,105.58,1174.68,5278,156,193,15
50,47818,18,280.95,4368.03,13352,99,196,10
18,33881,10,207.01,1768.43,4873,98,230,9
24,40232,18,243.1,4125.29,12092,137,198,16
37,33061,19,140.76,2390.02,6868,124,190,15
40,49254,25,280.72,6219.9,14071,85,105,10
27,28190,14,138.55,1905.54,5242,36,255,6
28,25676,11,108.23,1395.77,3749,55,268,5
55,30846,12,142.31,1268.84,1657,50,266,3
58,76716,23,572.81,14198.62,36485,175,81,20
40,34277,6,155.97,345.32,1804,17,284,3
36,38631,8,198.2,2765.83,6870,6,331,2
49,42190,19,263.08,4831.09,9245,93,151,7
30,24634,3,110.59,606.66,0,35,338,3
44,34059,14,157.65,2477.87,6956,87,279,13
55,29146,18,208.32,3759.58,10280,139,219,15
54,43081,17,300.91,6089.95,15941,94,231,5
39,52438,22,336.93,6774.56,16237,79,137,10
39,31576,17,143.05,3615.72,9037,172,204,19
26,36468,22,184.08,4794.99,12320,211,181,19
48,52681,11,252.1,2376.63,6795,63,252,8
55,37925,23,190.53,3911.57,8224,184,152,21
41,34617,27,134.27,2807.07,7640,263,151,27
28,42121,21,182.17,4270.61,11347,155,125,14
50,95544,25,734.82,20075.44,51387,191,122,18
36,22515,19,86.37,1284.61,3951,167,172,20
50,62399,23,369.49,9474.69,24953,107,145,9
48,52879,13,233.69,2257.39,4494,84,302,5
36,42537,17,198.39,3490.03,9703,145,179,14
38,48123,18,237.01,3514.19,11422,103,161,7
29,41044,18,244.41,4138.37,9876,105,193,13
37,50406,24,277.55,6326.2,16449,129,210,10
34,55196,17,514.08,8589.15,22116,151,164,13
23,38261,19,212.03,4383.41,8540,178,203,16
22,18000,15,80.74,625.15,1543,92,138,11
70,34999,13,195.41,2141.53,7366,55,156,8
45,81560,22,605.59,12459.48,32719,159,189,17
55,39145,13,206.84,3914.66,10077,71,297,4
49,67846,21,594.21,11561.09,30200,171,86,16
26,20504,22,30.0,124.14,431,184,107,19
64,44196,22,404.57,8910.24,23423,169,135,15
41,67850,24,563.36,12367.64,33303,188,151,19
21,24852,7,34.83,50.0,0,19,279,3
31,21480,25,181.12,3645.03,12078,196,132,19
64,32636,12,55.02,919.77,1419,45,235,5
36,37990,31,170.28,5945.61,14865,284,1,28
31,29317,21,196.07,4493.59,11737,212,168,18
50,31057,19,146.68,3856.98,9301,171,223,17
55,50458,20,363.58,6925.21,17616,141,190,12
41,42339,13,255.1,3447.97,6734,83,290,10
37,48245,10,364.04,4288.32,10636,5,209,2
31,46303,22,256.43,6423.19,15981,197,132,20
25,41404,13,244.44,3518.43,9556,137,210,11
54,37121,5,114.2,725.66,1744,5,409,1
31,41360,19,174.72,4253.16,10265,168,143,18
55,61925,29,425.7,12636.01,31577,243,70,21
45,20939,16,48.05,1373.49,5294,113,215,14
26,39172,20,194.46,4262.21,9325,179,155,18
50,34826,10,176.76,1606.25,3096,47,202,4
67,59690,17,385.15,6769.46,15480,97,205,6
48,56511,21,330.58,6832.68,18451,112,130,12
39,68766,19,526.55,8885.36,21572,155,140,16
54,95640,27,719.54,19591.03,48641,156,96,17
50,94726,28,695.58,18864.43,46118,163,37,18
39,66150,24,483.9,11608.4,30145,107,146,15
39,55223,10,176.85,1879.35,6171,36,230,5
30,42223,19,255.64,5210.12,12696,111,177,14
27,38560,20,195.09,4391.78,11680,148,159,17
57,32663,20,186.03,3351.9,8114,153,166,17
50,56165,26,331.42,8430.19,22013,114,123,15
37,47208,14,279.83,3685.7,7244,83,275,8
32,38434,17,233.39,2989.72,9116,96,229,7
35,19698,12,71.46,1057.71,2603,70,218,11
35,37216,9,168.79,1869.85,5774,65,229,6
18,42531,13,181.55,2852.53,7439,164,186,13
27,47131,8,277.49,2222.29,6048,29,339,0
50,18000,9,84.93,432.59,0,88,276,6
54,30148,26,69.85,1118.66,4134,261,147,24
25,30661,22,181.02,4014.91,10041,220,101,22
25,50061,17,249.96,4081.25,12099,156,249,14
46,48789,9,187.98,1534.5,3707,47,275,6
36,26231,16,108.2,1144.94,3433,126,179,14
22,35958,22,157.93,2999.95,5450,141,155,21
24,40655,18,137.99,206.58,0,183,173,16
43,62220,12,518.09,5821.72,15694,134,301,10
31,59234,17,362.08,5831.64,14559,56,240,7
52,80242,30,601.0,18592.14,44482,189,73,21
36,51419,18,402.42,7707.89,19414,69,168,8
38,52000,18,290.0,5874.5,14535,117,123,7
49,48703,12,228.09,2511.41,8003,36,264,3
41,65117,21,504.75,10992.93,28787,127,166,17
51,19544,14,49.24,1034.98,3517,101,237,13
23,44165,21,263.32,5847.02,15338,167,138,18
40,26809,9,165.54,1829.14,4345,109,343,9
26,20963,6,30.0,819.64,2294,36,315,3
38,55217,16,333.67,6236.9,16907,49,194,6
32,56005,24,324.31,8124.94,21238,178,86,9
27,39400,18,163.95,2601.44,5821,89,185,13
37,30759,13,192.06,2765.35,9986,129,239,13
45,53652,16,341.9,6287.93,18556,137,172,10
37,41790,3,179.31,717.19,3087,5,316,0
42,28455,19,151.36,3781.01,12191,181,179,18
41,61829,18,294.03,5466.66,15048,114,196,12
40,97704,22,712.82,15475.36,40984,184,104,18
47,40144,7,220.62,2704.65,6592,43,270,1
35,40790,7,206.95,480.41,2531,45,294,4
54,62088,29,471.87,12898.12,33852,159,106,20
30,35772,3,161.46,50.0,2285,62,317,0
42,44049,15,279.5,3982.69,10856,56,185,8
26,38449,7,221.37,2588.21,7324,62,247,5
45,34206,1,130.57,418.96,4408,26,317,1
22,35539,20,170.97,3650.66,9979,192,83,19
45,35670,13,149.51,982.28,4052,131,203,10
25,56275,16,302.0,4293.97,9899,59,250,6
32,50114,22,296.91,6343.76,16532,101,133,10
23,19107,9,114.33,1780.73,5081,80,292,7
42,30086,17,203.28,3933.64,12504,97,161,9
45,34975,15,209.9,2960.8,7136,136,202,13
33,24687,5,100.52,1324.16,4966,72,367,5
29,45955,15,266.86,4763.79,12045,73,218,7
36,33213,18,102.99,2344.63,5655,206,205,18
35,24316,15,74.1,1907.77,5639,133,177,15
29,41071,17,151.94,2747.69,8556,173,204,18
25,36539,19,205.86,2855.29,9815,136,191,14
53,32447,11,191.18,2490.21,6809,88,319,10
52,34786,21,130.15,1665.56,4188,200,162,21
24,56030,18,375.37,5562.07,14788,39,173,6
39,36064,22,147.98,3638.7,12270,203,149,18
37,63900,27,397.95,11767.15,30781,143,104,12
18,41707,8,167.12,1133.93,3222,26,231,4
40,57138,18,332.3,5976.04,15598,133,199,7
48,47477,7,226.18,974.4,2271,66,338,4
25,26946,7,134.43,423.01,2017,57,308,3
51,52499,23,479.12,12174.6,32115,86,102,12
36,38521,20,172.47,3821.9,10362,195,82,18
48,67430,21,445.59,9390.06,23301,66,110,6
33,34325,20,152.94,2710.1,6052,147,155,15
39,42373,9,247.05,3036.9,7481,50,291,3
38,50987,24,241.56,6020.66,14027,108,90,13
18,23958,15,97.42,1442.62,2204,104,226,12
46,44895,14,302.49,4118.72,11031,82,231,6
52,28393,22,165.27,2703.21,7022,227,247,24
23,42187,17,193.59,2853.26,6644,121,266,14
40,83612,34,617.36,20954.37,52823,223,8,21
37,37082,21,130.28,2539.91,6634,195,139,20
40,40774,17,249.64,3982.54,11816,155,211,12
27,35807,13,198.25,1696.5,5055,92,251,12
32,48318,28,262.72,6939.74,16664,258,139,26
44,31022,16,159.5,2825.87,7513,136,294,16
41,56267,29,486.5,12981.31,32526,237,46,22
23,51622,12,270.49,4199.78,12005,66,266,7
30,34406,17,211.67,4365.73,10921,58,149,6
62,49102,9,326.45,2670.89,6782,30,309,5
24,44518,10,222.36,2385.09,5243,37,311,3
50,86381,24,656.07,15378.31,39115,143,104,11
26,25038,13,103.68,2354.87,6166,137,256,13
26,45841,20,217.96,4306.27,8878,136,100,17
19,31011,1,119.01,50.0,0,20,366,0
65,37628,19,144.02,2795.45,6187,175,222,15
31,31782,19,214.78,4133.51,10995,195,117,18
30,37944,19,191.68,3907.74,9353,128,186,11
47,39974,12,215.28,3328.56,7698,78,238,8
51,37539,8,238.59,1630.97,5148,36,275,3
58,51962,9,290.72,2873.41,6961,13,327,1
45,34737,6,142.48,1511.63,4547,24,309,2
25,21558,21,107.22,2802.08,5001,108,166,15
54,64603,23,522.87,12006.09,33828,155,153,18
43,45284,24,229.65,5438.69,13697,153,40,11
40,24187,13,92.09,1407.25,3961,81,254,7
24,31032,11,141.59,859.59,2759,107,272,12
27,25668,12,126.42,1347.08,4032,102,234,11
40,37113,23,198.83,5325.24,13974,189,147,21
34,35755,20,213.41,5396.94,12087,177,172,18
45,38313,15,152.88,2454.04,5034,120,167,14
32,41591,12,149.81,2468.45,8845,99,200,9
52,18000,5,56.18,494.8,2167,34,311,3
43,51011,18,352.64,6131.88,15909,124,194,12
43,44738,21,160.18,2350.05,6135,174,160,20
37,33747,22,96.34,2082.65,5923,218,125,22
42,18000,5,52.21,50.0,0,5,218,2
27,35826,19,250.55,4113.7,9622,133,147,16
28,27335,8,75.49,438.69,2205,40,360,6
46,22988,20,108.12,1922.2,3524,145,129,17
53,81065,18,617.76,11662.46,31788,145,174,18
35,28976,18,145.56,2971.92,7566,150,189,13
45,48664,18,320.96,7302.98,17440,132,165,11
41,41892,9,198.56,1882.7,5259,60,259,6
51,89289,16,703.15,11283.24,29884,145,178,14
39,63926,16,390.81,6000.7,14679,66,182,7
36,87154,29,646.41,19219.14,50033,190,110,19
29,25705,10,77.15,241.43,1283,71,278,3
38,20476,17,30.0,245.18,1017,163,243,17
42,89463,25,665.15,15570.53,39221,121,153,14
18,37767,17,200.2,3480.6,8419,127,207,13
42,43285,12,228.02,2824.17,8573,106,249,10
26,22746,19,105.83,2662.84,5759,177,197,15
34,19797,16,86.96,1878.47,6924,138,232,14
26,36025,23,179.59,3401.32,7527,189,106,21
25,33004,16,165.07,3551.13,9998,108,185,14
35,35546,6,121.1,1229.32,5388,10,330,1
25,39300,16,226.89,3670.01,9213,140,163,12
50,62895,19,381.27,6598.55,16974,178,145,11
30,76376,20,595.84,11888.57,30937,145,140,14
39,57076,19,342.96,6632.33,16929,108,187,9
39,54113,17,421.77,5485.88,13922,78,149,5
47,42561,27,253.35,6756.07,16916,119,119,16
47,18000,18,64.51,1095.01,1686,102,156,13
45,52974,26,474.4,12781.3,32057,208,178,20
51,50025,19,340.39,6502.6,18088,84,211,7
24,29987,13,131.86,1669.62,3695,76,253,9
27,34861,19,218.22,6122.06,14821,154,162,15
18,31182,17,156.54,3229.86,8459,97,200,12
36,43926,18,267.54,3718.5,10588,65,175,6
51,34175,16,159.2,2979.66,10020,147,185,14
36,39931,20,228.75,5000.4,12867,125,195,13
35,82537,21,561.12,11040.61,28745,124,134,10
49,28014,12,90.26,573.44,796,110,251,10
48,56589,23,281.74,6769.59,15750,151,84,14
28,28957,16,276.59,4026.5,9190,104,193,10
50,36252,21,174.51,3384.19,8973,193,118,22
35,29082,18,80.08,986.14,4262,168,193,15
36,18000,15,50.28,551.79,1123,136,189,15
32,26027,19,99.55,1367.31,3292,123,165,16
25,35637,14,210.23,3653.43,8350,117,226,10
21,30510,18,113.66,2145.7,4523,135,217,13
44,71463,23,539.35,12151.14,31579,160,148,15
56,85723,30,660.72,18529.25,46311,221,105,20
42,80784,32,562.43,18242.7,46283,182,33,20
58,40679,29,220.87,7135.72,18219,140,62,14
50,73312,24,575.41,13626.95,35673,152,149,15
23,20984,8,104.24,1203.32,1457,48,296,5
41,51108,25,407.01,10097.28,24871,191,137,19
42,38198,11,239.56,2568.65,7208,85,321,9
40,49464,21,378.49,8362.46,22516,69,113,10
35,39634,16,160.22,2557.71,6247,171,236,17
45,56940,21,467.95,8776.45,22053,100,58,10
38,31465,14,147.41,2041.65,5910,138,214,14
35,36018,12,220.44,2736.68,8964,46,243,3
29,39244,17,145.32,2554.08,3649,107,197,14
20,38446,15,159.08,3165.43,9433,135,181,15
51,35335,8,116.92,2009.09,5665,47,246,4
41,44699,19,361.1,7112.61,18790,74,164,6
23,33719,14,259.74,4613.73,13300,98,204,14
49,96316,28,762.71,20787.77,51599,220,30,20
62,36787,7,205.93,1553.59,5710,5,325,5
32,47684,27,462.14,12332.68,30008,161,78,17
48,47400,17,326.64,5952.69,15146,128,195,13
51,26873,22,54.79,1646.56,5168,183,92,23
27,35839,17,88.02,1637.4,3961,180,191,20
25,43309,20,230.23,4068.83,9886,208,156,21
20,28293,11,92.16,855.11,1770,78,220,8
49,70508,26,552.22,14596.86,36826,199,163,20
33,37595,19,279.1,5875.65,15849,49,157,5
31,73715,21,475.74,10196.83,26666,158,126,18
40,41793,10,251.79,2483.12,7579,55,259,3
31,25848,18,129.72,2130.41,7429,170,229,14
20,35945,20,111.04,2116.88,4831,136,184,17
33,40225,22,264.66,5448.95,13770,188,214,16
41,71172,19,560.26,10456.99,23181,129,196,12
28,33520,21,103.59,2001.8,3607,152,139,18
18,34192,17,146.84,1670.54,3639,133,254,12
49,25947,17,139.3,1948.38,5022,152,179,15
31,50072,16,257.18,3785.36,8364,131,190,15
49,48981,17,363.46,6174.15,18037,135,194,17
45,57468,24,485.35,12235.16,32486,157,128,17
56,66597,18,601.26,12284.99,27833,131,170,14
22,27624,13,123.54,921.02,3146,101,305,13
27,71776,18,559.05,9791.79,25982,65,199,10
53,58354,14,424.21,6181.34,15751,120,191,10
58,54009,17,468.97,7268.63,17275,93,197,9
40,54622,17,370.39,5479.02,16143,59,184,7
43,51823,19,301.45,7167.35,18855,96,194,8
33,32807,13,114.25,1253.75,2495,141,230,15
19,33093,14,177.72,2611.95,7169,113,246,8
45,28252,18,116.83,1625.9,3851,135,155,14
38,18000,15,30.0,50.0,1168,101,226,10
53,64962,18,356.8,6215.8,13777,51,219,4
24,48939,23,301.98,6822.76,20247,184,154,16
48,39603,15,231.39,3495.16,10991,79,176,6
37,72709,22,559.63,12412.0,32837,174,140,18
30,45742,18,267.83,6317.23,16268,143,134,18
42,25390,13,79.19,1461.5,3837,77,218,9
24,38038,13,204.27,3466.87,7504,33,155,6
23,37494,16,188.9,3347.79,6868,94,219,9
39,23678,22,99.91,1879.19,3900,194,167,22
41,70510,11,549.0,6392.0,18326,77,182,10
49,58258,27,365.16,10376.71,26832,128,54,13
52,50219,14,332.43,5044.99,12485,51,183,4
31,41725,20,270.98,5125.59,13851,177,107,19
52,35745,13,174.28,2948.43,7809,61,152,5
48,59869,26,316.48,7766.31,20957,104,113,11
42,35966,21,155.3,4497.57,12656,177,163,20
36,51638,22,445.9,10166.37,25775,194,193,16
20,21758,7,117.03,613.35,2408,28,358,5
26,34067,17,179.36,2235.59,6529,125,193,19
32,36404,11,181.92,1779.4,5186,61,194,5
45,63693,23,409.78,9602.61,24457,111,152,10
38,73118,23,521.29,11721.61,28419,173,138,16
38,25823,18,83.32,1138.47,2174,122,151,17
38,54641,22,370.65,8704.14,23221,145,139,14
30,26258,18,102.13,1955.32,6919,142,138,15
52,43911,19,202.38,3527.3,10301,64,187,9
48,35508,6,149.68,474.24,48,62,252,2
30,47247,20,255.16,4715.96,13251,141,120,16
29,26143,13,122.21,1350.23,5223,135,251,10
30,73059,26,603.76,15901.2,41142,156,99,18
25,29750,14,158.24,1724.76,2212,126,296,12
34,62812,26,401.77,10202.95,26502,141,121,12
58,26298,22,73.3,753.58,1735,185,123,18
34,93976,17,650.74,11360.88,27804,170,173,14
42,71261,22,535.99,12544.1,31524,156,172,14
29,38422,25,212.91,5699.77,14348,187,143,21
50,55382,26,324.64,8234.22,19952,160,92,12
18,44669,23,217.68,4029.35,8599,251,169,23
46,104567,27,668.47,17976.96,44420,213,160,20
41,70822,23,524.57,11300.75,30800,123,165,15
48,41335,23,286.25,6892.56,19250,120,89,12
25,18000,19,107.73,1454.59,2476,159,230,18
30,47382,11,199.99,3648.63,8995,80,263,11
33,49640,21,230.73,4911.33,12096,215,182,20
52,62170,22,411.3,10102.62,26381,112,159,16
46,29077,22,120.64,3259.51,7704,196,134,22
50,29370,17,120.25,2703.36,5574,120,235,13
32,36874,12,179.92,1918.28,1833,86,230,7
52,81667,20,593.5,11330.73,28491,112,101,10
42,39746,20,249.1,5190.57,15062,144,148,19
31,38511,18,136.23,3504.92,9819,119,149,11
32,42488,19,194.36,3297.21,5923,133,233,17
29,26185,20,145.0,2923.78,6205,197,96,20
47,62307,20,441.61,10042.86,26270,79,133,7
36,36426,5,175.92,1402.28,4962,59,325,6
42,35671,15,275.73,4574.1,10702,58,261,9
45,37315,17,145.28,2777.64,8989,158,151,15
30,41508,15,345.18,5388.96,13315,58,174,5
46,50392,27,331.86,8977.4,23246,89,136,11
47,59838,21,375.1,7904.11,21072,101,102,9
36,27074,14,123.43,1495.93,4461,113,235,14
19,35515,19,186.8,3228.32,7561,184,225,18
27,18000,17,70.18,1743.23,2394,144,217,16
46,56091,20,417.35,8476.98,20743,157,158,17
45,29477,20,231.28,4557.4,9462,165,194,19
33,42683,28,181.93,5070.24,13366,226,62,24
53,42263,19,211.7,4610.16,12211,170,118,17
22,34607,15,203.84,3476.95,9001,123,256,14
36,39663,8,195.5,1649.46,5473,43,305,5
18,29654,19,155.15,2980.48,6914,156,216,12
38,31411,21,142.62,2468.38,5218,174,166,20
52,42255,19,313.0,5861.33,15762,76,209,7
58,46064,15,237.45,2755.78,8921,50,195,6
57,51850,15,427.0,6123.0,16566,70,235,9
22,31334,11,98.0,964.5,3151,75,246,8
19,27291,21,173.04,3486.78,8124,188,159,18
49,29154,8,151.3,1721.03,5112,9,323,4
37,90085,24,666.84,15923.76,40584,119,158,13
35,65710,16,507.39,7981.24,20308,87,176,12
49,45874,7,228.46,543.58,1346,32,306,4
60,38989,16,259.69,4160.4,11084,51,132,8
31,38892,21,206.33,4553.6,13031,132,176,14
46,71869,27,589.99,16550.62,41687,174,121,19
40,62876,17,372.99,6000.83,17337,24,195,9
44,22635,14,116.97,1602.86,5646,98,226,11
47,30509,14,165.06,1899.6,6084,136,310,12
41,52407,23,305.55,6161.78,15417,121,126,9
41,43282,8,265.55,1361.93,2365,56,234,4
41,38439,21,261.33,6142.21,14938,90,223,9
57,39812,15,303.85,4557.43,10605,59,216,5
42,48287,20,432.04,8895.24,20143,153,182,15
30,30608,13,192.28,1948.04,3926,84,261,11
67,38418,14,161.98,1949.13,4911,82,207,7
32,19184,12,72.58,1082.18,4048,67,242,10
33,34638,7,144.81,1976.48,5377,27,261,3
58,63485,25,525.43,13467.66,34907,177,132,15
33,49949,22,437.64,8775.96,21177,188,119,16
28,51030,23,325.61,7367.32,19999,100,118,10
25,41884,17,212.11,4402.14,14405,167,157,18
46,21770,16,133.49,1567.91,4958,105,255,11
57,76674,26,645.78,17086.43,45249,233,108,21
40,55768,27,470.29,13275.42,32623,188,129,16
43,36194,11,204.27,2238.5,3879,122,240,10
50,54947,17,324.35,5527.9,12397,108,120,7
39,87386,28,663.44,18086.19,45852,204,86,21
46,37591,10,145.46,1174.57,3996,19,231,1
61,35820,14,148.15,1928.85,5277,146,295,12
22,32888,11,140.73,1532.71,3457,77,280,12
41,40019,22,232.29,4719.85,13705,177,169,19
35,46523,16,464.96,7317.14,18839,83,196,11
41,42273,8,181.45,1288.29,2195,38,321,3
27,44203,11,233.81,2264.29,5491,72,266,4
31,43586,26,278.79,7846.36,21476,113,160,9
43,39093,10,180.41,749.68,2164,13,328,3
43,61469,21,408.61,8285.84,23690,116,151,6
49,78299,22,562.3,12598.79,32276,158,107,13
58,41727,17,171.84,2095.98,5554,136,201,15
46,36679,24,184.38,4524.33,11092,161,147,19
38,54642,24,406.69,9122.75,25073,113,155,14
27,55797,18,372.76,7519.55,17102,84,199,9
39,29253,16,108.52,1216.27,1187,113,285,14
42,39816,17,169.82,2807.85,6086,138,105,16
32,41111,24,269.56,6091.39,14809,68,145,5
18,41159,13,191.32,2324.52,4334,78,255,7
24,43104,18,242.2,5074.17,13043,175,200,17
44,38220,12,253.51,3126.07,7507,38,264,2
44,46661,12,355.41,3570.7,9913,82,222,6
44,35645,14,158.42,2557.02,9116,149,227,15
34,47067,14,255.46,3504.74,11078,105,256,6
40,70124,28,548.13,15142.49,38205,242,85,21
40,45885,22,227.11,4814.65,11293,121,122,16
53,64854,21,529.38,11188.2,26395,116,157,12
49,64657,31,398.43,11814.05,29962,160,73,17
22,30827,16,202.91,3521.6,9014,120,246,14
44,61727,27,438.36,12102.38,30061,113,116,16
45,43126,13,277.27,3409.02,7439,44,214,3
68,42727,18,305.71,5087.63,11613,88,197,7
47,34391,10,117.26,594.31,3321,85,233,5
19,41878,17,204.56,2817.29,7579,166,224,16
42,21522,7,63.21,1163.55,1741,30,299,5
58,74688,27,537.46,13654.57,34335,213,104,19
18,37669,17,146.35,2130.82,6593,109,169,10
27,39196,12,168.54,2147.27,6245,125,218,13
36,53116,23,488.04,11410.63,30445,154,96,16
32,25408,7,120.98,240.3,0,23,320,3
22,41764,6,178.98,191.57,0,5,244,1
47,37478,15,166.74,1963.92,3914,110,258,12
35,68397,15,416.3,5752.24,15613,31,204,3
34,28773,12,104.09,915.01,0,103,288,11
34,47314,29,227.02,6560.59,17407,268,130,28
39,44489,6,256.1,50.0,0,18,319,3
26,42271,8,170.88,1857.11,5170,40,344,2
45,76519,14,574.25,7808.64,19780,102,256,12
32,26042,17,30.36,564.19,1315,168,163,17
46,71154,17,477.61,7974.66,21577,144,230,13
42,25622,12,152.85,545.18,3048,113,255,9
39,27600,8,130.19,1477.1,2922,34,248,3
45,40858,13,137.61,2100.7,7049,81,190,9
34,35672,19,126.97,2847.7,7748,170,224,15
48,31122,17,50.06,122.86,0,163,190,19
49,41588,5,270.92,1027.2,2518,19,317,3
30,48645,20,400.93,7930.96,20596,93,219,11
56,24784,8,83.68,913.44,674,34,326,2
27,21752,14,144.24,1400.13,5128,93,267,12
38,41128,20,261.59,4601.43,13054,104,209,11
43,56257,12,344.36,4214.69,11747,58,279,4
62,37137,23,144.74,3576.17,9511,198,121,22
61,62361,24,502.89,13282.85,33897,173,112,16
26,43588,11,205.83,2288.78,7852,59,216,9
43,30942,16,191.61,2819.33,9053,158,261,16
43,29092,12,196.18,2900.72,6144,101,196,13
42,47891,20,404.74,6996.15,14389,127,166,14
54,41692,7,218.9,2154.73,3457,70,314,3
43,30347,14,159.45,1250.06,1115,130,235,14
49,32748,16,186.29,2718.96,5851,145,147,17
18,31103,7,119.08,657.4,2582,5,295,2
40,50338,9,257.4,3646.12,8127,5,241,2
49,27870,16,148.7,1676.83,4043,172,206,18
44,46368,19,280.28,5797.03,14472,102,249,8
22,42524,16,213.26,3345.97,8841,133,192,16
54,65826,19,506.78,10031.17,28029,159,199,13
27,32802,18,133.28,2374.2,5234,121,195,13
30,30814,25,122.89,3794.41,9080,174,127,20
18,28467,6,138.65,1168.69,5486,14,249,1
28,40645,21,236.8,6661.71,18279,189,89,19
32,43002,26,227.67,5717.23,14681,241,70,24
33,35173,14,145.2,1310.2,4668,119,178,15
54,62721,22,396.22,8750.44,21110,122,116,13
44,33333,21,133.32,3358.0,9602,188,82,18
39,25498,17,88.51,1802.43,5313,109,149,14
52,47433,19,280.29,5529.0,14866,102,149,7
40,69366,26,599.94,16060.16,39697,204,81,20
27,36456,17,209.27,2818.47,5857,150,113,14
51,34731,19,169.29,3223.96,8310,167,199,18
46,42212,12,148.47,1144.72,1807,145,214,11
47,46509,19,284.5,6538.8,15310,68,190,9
31,32555,19,155.98,2089.71,7166,157,221,19
40,41717,12,210.51,2571.5,6648,88,209,4
25,40369,20,213.78,4121.56,12530,143,150,14
36,34319,15,121.45,2024.76,4294,136,210,11
44,84354,24,559.21,13731.96,32362,156,74,17
31,29929,13,111.75,1412.1,5734,97,222,9
56,30443,22,121.18,3377.43,10484,188,171,19
51,78298,28,588.93,15889.51,42148,165,110,18
38,62213,33,518.11,16554.27,41344,228,1,22
41,48431,13,332.4,4699.44,12778,63,256,6
45,49725,9,278.12,2972.05,5695,85,224,7
24,50981,19,225.57,4683.99,12440,165,166,14
26,22172,25,83.29,1533.21,4055,238,147,24
46,54526,14,367.21,5200.25,13550,78,264,5
49,53907,21,328.03,6698.08,15619,94,183,10
29,25208,7,84.01,1511.98,4545,53,229,3
36,45194,19,253.73,4865.32,12236,144,170,19
56,80452,25,559.58,13438.55,36622,168,170,16
